iter	Passed	Remaining
0	111	111652
1	115	57585
2	119	39568
3	123	30793
4	127	25396
5	131	21748
6	135	19161
7	139	17309
8	143	15779
9	146	14526
10	150	13512
11	155	12772
12	158	12052
13	162	11428
14	166	10902
15	170	10475
16	174	10090
17	178	9730
18	182	9438
19	186	9151
20	190	8901
21	194	8665
22	198	8445
23	204	8298
24	208	8122
25	212	7953
26	216	7809
27	221	7681
28	224	7531
29	228	7395
30	232	7272
31	237	7180
32	241	7062
33	244	6946
34	248	6843
35	252	6748
36	255	6646
37	259	6559
38	262	6476
39	267	6426
40	271	6349
41	275	6273
42	278	6199
43	282	6133
44	286	6069
45	289	6006
46	293	5943
47	297	5891
48	301	5843
49	304	5787
50	308	5735
51	311	5678
52	315	5638
53	318	5585
54	322	5534
55	325	5487
56	329	5451
57	332	5405
58	336	5361
59	339	5316
60	342	5274
61	346	5239
62	349	5201
63	353	5164
64	356	5130
65	359	5094
66	364	5075
67	367	5041
68	371	5007
69	374	4976
70	378	4953
71	382	4924
72	385	4894
73	389	4867
74	393	4847
75	396	4824
76	400	4795
77	403	4771
78	407	4745
79	410	4722
80	414	4700
81	417	4675
82	421	4652
83	424	4630
84	428	4610
85	431	4588
86	435	4565
87	438	4540
88	442	4524
89	445	4503
90	448	4484
91	452	4463
92	455	4443
93	459	4430
94	463	4411
95	466	4391
96	470	4375
97	473	4360
98	478	4351
99	481	4333
100	484	4316
101	488	4302
102	492	4288
103	495	4271
104	500	4262
105	503	4247
106	507	4234
107	510	4217
108	513	4201
109	517	4186
110	520	4172
111	524	4158
112	527	4144
113	531	4130
114	535	4122
115	540	4122
116	545	4117
117	549	4107
118	553	4098
119	557	4089
120	562	4082
121	565	4071
122	569	4060
123	573	4050
124	577	4039
125	580	4025
126	583	4011
127	587	4003
128	591	3991
129	594	3978
130	597	3965
131	601	3952
132	605	3945
133	608	3935
134	612	3923
135	615	3911
136	619	3901
137	622	3887
138	625	3874
139	628	3861
140	631	3848
141	635	3839
142	638	3828
143	642	3816
144	645	3805
145	648	3794
146	653	3789
147	656	3779
148	659	3767
149	663	3757
150	666	3748
151	670	3738
152	673	3729
153	676	3719
154	680	3707
155	684	3703
156	688	3694
157	691	3684
158	695	3676
159	699	3671
160	702	3663
161	706	3654
162	709	3644
163	713	3638
164	717	3628
165	720	3620
166	723	3611
167	727	3601
168	731	3596
169	735	3589
170	738	3582
171	742	3572
172	745	3564
173	749	3558
174	753	3550
175	756	3540
176	759	3531
177	763	3524
178	766	3516
179	769	3507
180	773	3501
181	777	3492
182	781	3487
183	784	3479
184	788	3471
185	791	3463
186	795	3457
187	798	3449
188	802	3441
189	805	3432
190	808	3424
191	812	3417
192	815	3409
193	818	3401
194	821	3392
195	825	3385
196	828	3377
197	831	3369
198	835	3362
199	838	3354
200	842	3348
201	845	3342
202	849	3333
203	852	3325
204	855	3319
205	859	3312
206	862	3305
207	866	3297
208	869	3290
209	872	3282
210	875	3275
211	879	3268
212	882	3260
213	885	3254
214	889	3247
215	892	3240
216	895	3232
217	899	3224
218	901	3216
219	905	3209
220	908	3203
221	912	3197
222	915	3189
223	918	3181
224	921	3175
225	926	3171
226	928	3163
227	932	3156
228	935	3148
229	938	3141
230	942	3137
231	945	3130
232	948	3123
233	952	3117
234	956	3113
235	960	3109
236	971	3126
237	975	3124
238	980	3120
239	983	3115
240	988	3111
241	991	3106
242	995	3102
243	999	3097
244	1003	3090
245	1006	3083
246	1009	3076
247	1012	3069
248	1015	3061
249	1018	3056
250	1021	3049
251	1024	3042
252	1028	3035
253	1031	3028
254	1035	3024
255	1038	3019
256	1042	3014
257	1046	3008
258	1049	3003
259	1053	2999
260	1057	2993
261	1060	2987
262	1063	2981
263	1068	2979
264	1072	2973
265	1075	2967
266	1078	2961
267	1082	2956
268	1086	2951
269	1089	2945
270	1093	2941
271	1096	2935
272	1101	2932
273	1104	2927
274	1108	2921
275	1111	2915
276	1115	2912
277	1119	2907
278	1122	2901
279	1126	2896
280	1129	2890
281	1132	2884
282	1135	2878
283	1139	2871
284	1142	2865
285	1145	2859
286	1149	2856
287	1153	2850
288	1156	2844
289	1159	2838
290	1163	2833
291	1167	2830
292	1170	2823
293	1173	2818
294	1177	2813
295	1180	2808
296	1184	2803
297	1187	2797
298	1190	2791
299	1194	2786
300	1197	2782
301	1201	2776
302	1204	2770
303	1208	2765
304	1211	2760
305	1215	2756
306	1218	2750
307	1221	2744
308	1224	2738
309	1228	2733
310	1231	2728
311	1234	2722
312	1237	2716
313	1240	2710
314	1244	2705
315	1247	2699
316	1250	2694
317	1253	2688
318	1256	2682
319	1260	2678
320	1263	2672
321	1266	2666
322	1269	2660
323	1272	2654
324	1275	2649
325	1279	2644
326	1282	2638
327	1285	2633
328	1289	2629
329	1292	2624
330	1295	2618
331	1298	2612
332	1301	2607
333	1304	2601
334	1308	2596
335	1311	2591
336	1314	2585
337	1317	2580
338	1320	2574
339	1323	2569
340	1326	2564
341	1329	2558
342	1332	2553
343	1336	2548
344	1339	2543
345	1342	2538
346	1345	2532
347	1349	2528
348	1352	2523
349	1356	2518
350	1359	2513
351	1362	2507
352	1366	2503
353	1369	2498
354	1372	2494
355	1376	2489
356	1379	2483
357	1382	2478
358	1385	2473
359	1388	2468
360	1391	2463
361	1395	2458
362	1398	2453
363	1401	2448
364	1404	2443
365	1408	2439
366	1411	2433
367	1414	2429
368	1417	2423
369	1421	2419
370	1424	2415
371	1427	2410
372	1430	2405
373	1434	2400
374	1437	2396
375	1441	2391
376	1444	2387
377	1448	2382
378	1451	2378
379	1455	2374
380	1458	2369
381	1461	2364
382	1465	2360
383	1468	2355
384	1471	2351
385	1474	2346
386	1478	2341
387	1481	2336
388	1484	2332
389	1488	2327
390	1491	2322
391	1494	2317
392	1497	2313
393	1501	2309
394	1504	2304
395	1507	2299
396	1510	2294
397	1513	2289
398	1517	2285
399	1520	2281
400	1523	2276
401	1527	2271
402	1530	2267
403	1533	2262
404	1537	2258
405	1540	2253
406	1543	2249
407	1547	2245
408	1551	2241
409	1554	2237
410	1558	2232
411	1561	2228
412	1565	2224
413	1568	2220
414	1572	2216
415	1575	2211
416	1578	2207
417	1582	2203
418	1585	2198
419	1589	2194
420	1592	2189
421	1595	2184
422	1598	2181
423	1601	2176
424	1605	2171
425	1608	2166
426	1611	2162
427	1614	2158
428	1617	2153
429	1621	2148
430	1624	2145
431	1628	2140
432	1631	2136
433	1634	2131
434	1637	2127
435	1640	2122
436	1643	2117
437	1647	2113
438	1650	2109
439	1653	2104
440	1657	2100
441	1660	2096
442	1664	2092
443	1667	2088
444	1670	2084
445	1674	2079
446	1677	2075
447	1681	2071
448	1684	2067
449	1688	2063
450	1691	2058
451	1694	2054
452	1698	2050
453	1701	2046
454	1704	2041
455	1707	2037
456	1711	2033
457	1714	2029
458	1718	2024
459	1721	2020
460	1724	2016
461	1728	2012
462	1731	2008
463	1734	2004
464	1737	1999
465	1740	1994
466	1745	1991
467	1749	1988
468	1752	1984
469	1755	1979
470	1759	1975
471	1763	1972
472	1766	1968
473	1771	1966
474	1776	1963
475	1779	1959
476	1783	1955
477	1786	1951
478	1790	1946
479	1794	1943
480	1797	1939
481	1800	1935
482	1803	1930
483	1807	1926
484	1810	1922
485	1814	1919
486	1818	1915
487	1822	1912
488	1826	1908
489	1830	1905
490	1833	1901
491	1837	1897
492	1842	1894
493	1845	1890
494	1849	1886
495	1852	1882
496	1856	1878
497	1859	1874
498	1862	1870
499	1865	1865
500	1868	1861
501	1872	1857
502	1875	1853
503	1878	1848
504	1881	1844
505	1884	1839
506	1888	1836
507	1892	1832
508	1896	1829
509	1899	1825
510	1903	1821
511	1907	1817
512	1911	1814
513	1915	1810
514	1918	1807
515	1922	1803
516	1926	1799
517	1929	1795
518	1932	1790
519	1936	1787
520	1939	1783
521	1942	1779
522	1946	1775
523	1949	1770
524	1953	1767
525	1956	1763
526	1959	1758
527	1962	1754
528	1965	1750
529	1970	1747
530	1975	1744
531	1978	1740
532	1981	1735
533	1984	1732
534	1988	1727
535	1990	1723
536	1994	1719
537	1997	1715
538	2001	1711
539	2005	1708
540	2008	1703
541	2012	1700
542	2016	1697
543	2020	1693
544	2024	1689
545	2027	1685
546	2030	1681
547	2034	1678
548	2038	1674
549	2041	1670
550	2044	1666
551	2048	1662
552	2052	1659
553	2056	1655
554	2059	1651
555	2062	1647
556	2066	1643
557	2070	1640
558	2073	1636
559	2076	1631
560	2080	1628
561	2084	1624
562	2087	1620
563	2091	1616
564	2094	1612
565	2098	1608
566	2101	1605
567	2104	1600
568	2107	1596
569	2111	1592
570	2115	1589
571	2118	1585
572	2121	1580
573	2124	1576
574	2129	1573
575	2132	1569
576	2135	1565
577	2138	1561
578	2142	1557
579	2145	1553
580	2149	1550
581	2152	1545
582	2157	1543
583	2163	1541
584	2167	1537
585	2171	1534
586	2175	1530
587	2179	1526
588	2182	1522
589	2185	1518
590	2188	1514
591	2191	1510
592	2195	1506
593	2198	1502
594	2201	1498
595	2204	1494
596	2208	1490
597	2211	1486
598	2214	1482
599	2217	1478
600	2221	1474
601	2224	1470
602	2227	1466
603	2231	1462
604	2234	1458
605	2237	1454
606	2240	1450
607	2243	1446
608	2247	1442
609	2250	1438
610	2253	1434
611	2257	1431
612	2260	1427
613	2263	1423
614	2267	1419
615	2270	1415
616	2274	1411
617	2278	1408
618	2281	1404
619	2284	1400
620	2288	1396
621	2292	1392
622	2295	1388
623	2298	1385
624	2302	1381
625	2306	1377
626	2309	1373
627	2312	1369
628	2315	1365
629	2319	1362
630	2322	1358
631	2326	1354
632	2329	1350
633	2332	1346
634	2335	1342
635	2339	1338
636	2342	1334
637	2345	1330
638	2348	1326
639	2352	1323
640	2355	1319
641	2359	1315
642	2361	1311
643	2364	1307
644	2367	1302
645	2370	1299
646	2373	1295
647	2376	1290
648	2379	1286
649	2382	1282
650	2385	1278
651	2388	1275
652	2391	1270
653	2394	1266
654	2397	1262
655	2400	1258
656	2404	1255
657	2407	1251
658	2409	1247
659	2412	1242
660	2415	1238
661	2418	1235
662	2421	1230
663	2424	1226
664	2427	1222
665	2430	1218
666	2434	1215
667	2437	1211
668	2439	1207
669	2442	1203
670	2445	1199
671	2449	1195
672	2452	1191
673	2455	1187
674	2458	1183
675	2460	1179
676	2464	1175
677	2467	1171
678	2470	1167
679	2473	1163
680	2476	1159
681	2479	1156
682	2483	1152
683	2487	1148
684	2489	1144
685	2492	1140
686	2495	1136
687	2499	1133
688	2503	1129
689	2506	1125
690	2508	1121
691	2511	1117
692	2516	1114
693	2519	1110
694	2522	1106
695	2525	1102
696	2528	1099
697	2531	1095
